,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,2515.276421680624,676.1026536565528,2126.2944676977595,1205.0984484084254,4201.765428518903,808.8777258747263,4460.015513682226,29.4490665310388,2208.3154605391846
davis,2515.276421680624,0.0,3433.3301751332697,1385.0655634989648,5054.08963097124,1247.7413951786377,2458.4559558970645,978.9042138521758,5180.322893608132,2150.682090478387
courier,676.1026536565528,3433.3301751332697,0.0,3190.0941250637516,750.8766193644885,5169.9085540533115,1556.800205401717,5298.907486845078,899.735989314908,2881.192921412494
piazza,2126.2944676977595,1385.0655634989648,3190.0941250637516,0.0,4018.1413920750388,1053.7997378037926,767.6116678965451,908.9206337663102,2386.5380635558445,327.8345607515649
goblin,1205.0984484084254,5054.08963097124,750.8766193644885,4018.1413920750388,0.0,6994.20353631507,3464.311605284523,7783.776383901461,1996.9144314670525,5388.8520799699345
peter,4201.765428518903,1247.7413951786377,5169.9085540533115,1053.7997378037926,6994.20353631507,0.0,3395.7266547932145,434.7076663572723,5812.825224614383,2672.991369337118
cicerone,808.8777258747263,2458.4559558970645,1556.800205401717,767.6116678965451,3464.311605284523,3395.7266547932145,0.0,3612.9833072730667,1538.127966477097,967.1270566944718
campagna,4460.015513682226,978.9042138521758,5298.907486845078,908.9206337663102,7783.776383901461,434.7076663572723,3612.9833072730667,0.0,5769.145609141763,2450.1410166305627
low,29.4490665310388,5180.322893608132,899.735989314908,2386.5380635558445,1996.9144314670525,5812.825224614383,1538.127966477097,5769.145609141763,0.0,3199.180856313141
signore,2208.3154605391846,2150.682090478387,2881.192921412494,327.8345607515649,5388.8520799699345,2672.991369337118,967.1270566944718,2450.1410166305627,3199.180856313141,0.0
