,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,6.469065098497249,5.436206281998334,5.6940830773405295,0.495505765115938,2.895851708061696,8.056774615979183,6.771301325110943,1.5753286447369965,18.669405969193047
mouret,6.469065098497249,0.0,19.39023742553802,0.5488099327623481,20.899783905682987,22.265604754090774,11.140511918775834,5.715828920070896,25.523449567571728,1.2506336570960515
hutin,5.436206281998334,19.39023742553802,0.0,86.50718497639855,23.910591751525782,43.82156544051447,9.31853111808243,42.20228355767528,126.53846681883331,79.34031140186961
bourdoncle,5.6940830773405295,0.5488099327623481,86.50718497639855,0.0,120.38145606225554,87.18396680352792,89.24287448267987,71.20263182519194,72.43435755624662,71.33489680262161
pauline,0.495505765115938,20.899783905682987,23.910591751525782,120.38145606225554,0.0,76.64055620032202,40.850395806655584,75.10647692130281,165.49619514168157,111.56739982318115
robineau,2.895851708061696,22.265604754090774,43.82156544051447,87.18396680352792,76.64055620032202,0.0,68.08318216337828,112.51156583881615,81.55547272024211,171.02412588656347
favier,8.056774615979183,11.140511918775834,9.31853111808243,89.24287448267987,40.850395806655584,68.08318216337828,0.0,49.212437013873796,152.99217388058753,75.61629427180833
madame desforges,6.771301325110943,5.715828920070896,42.20228355767528,71.20263182519194,75.10647692130281,112.51156583881615,49.212437013873796,0.0,153.75832403551877,67.26539136363799
baudu,1.5753286447369965,25.523449567571728,126.53846681883331,72.43435755624662,165.49619514168157,81.55547272024211,152.99217388058753,153.75832403551877,0.0,210.53637910932738
henriette,18.669405969193047,1.2506336570960515,79.34031140186961,71.33489680262161,111.56739982318115,171.02412588656347,75.61629427180833,67.26539136363799,210.53637910932738,0.0
