,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,47.238667937357505,9.747889571766505,21.416622376094715,16.31834287296082,29.2303236941015,2.96863701297842,1.898417934980162,3.26891263225979,60.074568166047285
mitya,47.238667937357505,0.0,84.99855009380096,38.89576393860375,164.531557548865,9.390793184965705,83.68060878414532,213.26007139323167,28.50138560801001,18.086840693097844
ivan,9.747889571766505,84.99855009380096,0.0,20.142822561172736,53.74314618341472,124.022707917281,19.127741933338772,6.138639203642923,106.65221258975289,154.61959010256257
smerdyakov,21.416622376094715,38.89576393860375,20.142822561172736,0.0,425.623277814496,181.63270368874632,130.05964593955815,430.98508020603947,178.33761745397558,165.5214363458272
fyodor pavlovitch,16.31834287296082,164.531557548865,53.74314618341472,425.623277814496,0.0,294.0742137422981,118.35807849116452,70.46704452429411,183.2023956006718,162.2678378011464
grushenka,29.2303236941015,9.390793184965705,124.022707917281,181.63270368874632,294.0742137422981,0.0,161.91384009816022,354.88964253049215,56.68305535219611,62.80505569018461
katerina ivanovna,2.96863701297842,83.68060878414532,19.127741933338772,130.05964593955815,118.35807849116452,161.91384009816022,0.0,282.6947068745254,256.7198975383518,314.4234802614046
dmitri,1.898417934980162,213.26007139323167,6.138639203642923,430.98508020603947,70.46704452429411,354.88964253049215,282.6947068745254,0.0,453.99576633115464,428.4718975000993
rakitin,3.26891263225979,28.50138560801001,106.65221258975289,178.33761745397558,183.2023956006718,56.68305535219611,256.7198975383518,453.99576633115464,0.0,181.44657399509222
dmitri fyodorovitch,60.074568166047285,18.086840693097844,154.61959010256257,165.5214363458272,162.2678378011464,62.80505569018461,314.4234802614046,428.4718975000993,181.44657399509222,0.0
