,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,1184.1545906798472,261.7028037322734,1265.5980632148217,240.99156925202033,489.1205800447168,1301.9499189243397,508.01467484065023,1490.4706858828588,1861.3152849521825
mont blanc,1184.1545906798472,0.0,20502.370305072145,16881.515707907478,3423.2970652754384,5190.624864200177,13898.331056883437,18387.8338032116,19717.470852003407,14756.440421110794
neckar,261.7028037322734,20502.370305072145,0.0,3037.8569454483677,17668.952589316545,15011.289267964275,9376.173966487077,6653.229117394048,5287.139317649468,12631.230334122714
conrad,1265.5980632148217,16881.515707907478,3037.8569454483677,0.0,13442.470428731414,10673.524054319656,6053.188602696533,3584.3305729019567,2261.6052054587713,7875.424446187554
baedeker,240.99156925202033,3423.2970652754384,17668.952589316545,13442.470428731414,0.0,3075.181012768665,8659.129325850328,11111.330028962644,11656.059871628486,9059.117697557696
peter,489.1205800447168,5190.624864200177,15011.289267964275,10673.524054319656,3075.181012768665,0.0,7210.400309324739,6387.105130559977,8547.57118500806,6669.55815738692
riley,1301.9499189243397,13898.331056883437,9376.173966487077,6053.188602696533,8659.129325850328,7210.400309324739,0.0,3084.3970609767653,4407.200569578404,9158.562166292546
nicodemus,508.01467484065023,18387.8338032116,6653.229117394048,3584.3305729019567,11111.330028962644,6387.105130559977,3084.3970609767653,0.0,1322.561463618629,6054.262078674512
huss,1490.4706858828588,19717.470852003407,5287.139317649468,2261.6052054587713,11656.059871628486,8547.57118500806,4407.200569578404,1322.561463618629,0.0,3147.876669453855
gretchen,1861.3152849521825,14756.440421110794,12631.230334122714,7875.424446187554,9059.117697557696,6669.55815738692,9158.562166292546,6054.262078674512,3147.876669453855,0.0
