,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,163.42742579574505,137.4910206560398,248.32766256130523,73.0939722826138,48.09057101501198,13.06586608133846,13.010663843439877,41.89784445052924,136.83365793664305
mannering,163.42742579574505,0.0,115.11319331853498,169.82920289316849,112.40641695674243,45.43701869134274,20.733433193811397,26.911056447608917,85.33429471767451,76.54868279835463
glossin,137.4910206560398,115.11319331853498,0.0,325.5974641457061,79.72767141833809,183.4155001257401,402.7194537321015,433.8238178523403,269.47123582273457,1163.785119580054
brown,248.32766256130523,169.82920289316849,325.5974641457061,0.0,410.5329640724541,858.8679712537776,379.46760371332005,358.52710740052083,347.87244254562944,700.6903325901561
hazlewood,73.0939722826138,112.40641695674243,79.72767141833809,410.5329640724541,0.0,310.46635078454875,372.40347888532864,405.2465981654444,144.78513444766108,1527.9666863304085
pleydell,48.09057101501198,45.43701869134274,183.4155001257401,858.8679712537776,310.46635078454875,0.0,767.9850488047312,842.2258510327594,320.8482498668953,2324.370572690515
dominie,13.06586608133846,20.733433193811397,402.7194537321015,379.46760371332005,372.40347888532864,767.9850488047312,0.0,71.74710345439733,300.4186958049166,1044.516280179872
sampson,13.010663843439877,26.911056447608917,433.8238178523403,358.52710740052083,405.2465981654444,842.2258510327594,71.74710345439733,0.0,452.02345476110565,1098.5531813471068
dinmont,41.89784445052924,85.33429471767451,269.47123582273457,347.87244254562944,144.78513444766108,320.8482498668953,300.4186958049166,452.02345476110565,0.0,1954.9654827249174
laird,136.83365793664305,76.54868279835463,1163.785119580054,700.6903325901561,1527.9666863304085,2324.370572690515,1044.516280179872,1098.5531813471068,1954.9654827249174,0.0
