,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,98.27924507742314,201.55970794816616,375.65785470746073,375.12563360399827,17.229745221089953,154.88846488477705,161.14179570441092,179.64621543809955,317.04875984026035
bucklaw,98.27924507742314,0.0,117.4976503948533,118.48361190973417,147.73524634063705,127.16088926497827,29.189370242297638,181.37320141899545,124.65879197298536,273.73651852866095
lucy,201.55970794816616,117.4976503948533,0.0,51.599667765703394,67.03368780846604,266.71370743555406,72.97311571633703,201.52616971548454,66.1349365946373,39.71527125576201
lady ashton,375.65785470746073,118.48361190973417,51.599667765703394,0.0,91.77759352956932,637.1944944133435,553.8632322542376,247.59852492305237,398.9524247469661,644.1317859642696
ashton,375.12563360399827,147.73524634063705,67.03368780846604,91.77759352956932,0.0,703.3817491144525,671.2742049231219,372.08573015946695,517.8759458412637,849.3959580325098
wolf,17.229745221089953,127.16088926497827,266.71370743555406,637.1944944133435,703.3817491144525,0.0,243.04709398631456,326.9797013540102,221.0246945886182,478.83237364035256
craigengelt,154.88846488477705,29.189370242297638,72.97311571633703,553.8632322542376,671.2742049231219,243.04709398631456,0.0,344.6576413458722,139.80905025747256,260.61107732747945
marquis,161.14179570441092,181.37320141899545,201.52616971548454,247.59852492305237,372.08573015946695,326.9797013540102,344.6576413458722,0.0,439.60771252879783,448.1445700759986
william ashton,179.64621543809955,124.65879197298536,66.1349365946373,398.9524247469661,517.8759458412637,221.0246945886182,139.80905025747256,439.60771252879783,0.0,182.34153502233855
alice,317.04875984026035,273.73651852866095,39.71527125576201,644.1317859642696,849.3959580325098,478.83237364035256,260.61107732747945,448.1445700759986,182.34153502233855,0.0
