,nigel,glenvarloch,dalgarno,richie,heriot,margaret,mungo,george heriot,james,huntinglen
nigel,0.0,6.172230632558802,21.839598581368634,41.0953797983121,12.901004538686264,30.190486690198714,19.858950001690452,22.113300361467168,27.57629808268323,27.975171365587617
glenvarloch,6.172230632558802,0.0,14.768739344696003,30.096044713591944,23.998407252084743,31.41114922051604,12.440621620676936,14.7429209314506,26.220278716230105,19.421939317397484
dalgarno,21.839598581368634,14.768739344696003,0.0,42.37383133045458,55.296818368869346,72.34914787001058,32.42908445981224,50.36968773767183,74.25196272843709,16.99306342536281
richie,41.0953797983121,30.096044713591944,42.37383133045458,0.0,54.15068322618133,155.70928223548233,36.95647985371093,50.093427924558796,60.49671714033007,90.13650251023073
heriot,12.901004538686264,23.998407252084743,55.296818368869346,54.15068322618133,0.0,118.81498142986179,54.710965812255274,11.958713714002167,28.458820868003055,28.044453542872542
margaret,30.190486690198714,31.41114922051604,72.34914787001058,155.70928223548233,118.81498142986179,0.0,99.0948548149425,110.07874394121649,135.7551492049681,119.19174896977496
mungo,19.858950001690452,12.440621620676936,32.42908445981224,36.95647985371093,54.710965812255274,99.0948548149425,0.0,29.82149107834973,54.15020334273057,74.02509926714272
george heriot,22.113300361467168,14.7429209314506,50.36968773767183,50.093427924558796,11.958713714002167,110.07874394121649,29.82149107834973,0.0,34.812967457932885,68.34666770169285
james,27.57629808268323,26.220278716230105,74.25196272843709,60.49671714033007,28.458820868003055,135.7551492049681,54.15020334273057,34.812967457932885,0.0,102.99314587405652
huntinglen,27.975171365587617,19.421939317397484,16.99306342536281,90.13650251023073,28.044453542872542,119.19174896977496,74.02509926714272,68.34666770169285,102.99314587405652,0.0
