,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,0.03231313039830135,0.009009681075200834,0.013607878664375836,0.00790368320723276,0.0038528921289113305,0.008628339201393182,0.0007048450886200086,0.0005798483319432919,0.002827640606483339
squeers,0.03231313039830135,0.0,0.07861492821748992,0.14565157011262767,0.06275178720070176,0.039491630272942314,0.039655306583565246,0.03021851636603271,0.1331020451951737,0.02813868360696492
nickleby,0.009009681075200834,0.07861492821748992,0.0,0.09167275136624578,0.008090656592641965,0.018675978566590014,0.03741815648594974,0.008628493494006588,0.027997011615192975,0.003858659897812353
ralph,0.013607878664375836,0.14565157011262767,0.09167275136624578,0.0,0.052882787911028635,0.018864055348312606,0.04686639218240078,0.01735472866757949,0.042681042038992506,0.007727122083819146
kate,0.00790368320723276,0.06275178720070176,0.008090656592641965,0.052882787911028635,0.0,0.024256900957434175,0.04799209417651237,0.017506762182340804,0.03658071191663108,0.01146697058713439
newman,0.0038528921289113305,0.039491630272942314,0.018675978566590014,0.018864055348312606,0.024256900957434175,0.0,0.05274013709761327,0.02576356819621018,0.09960956295677771,0.03780356307707314
kenwigs,0.008628339201393182,0.039655306583565246,0.03741815648594974,0.04686639218240078,0.04799209417651237,0.05274013709761327,0.0,0.0775209323664131,0.1192553314280072,0.08131690107982674
smike,0.0007048450886200086,0.03021851636603271,0.008628493494006588,0.01735472866757949,0.017506762182340804,0.02576356819621018,0.0775209323664131,0.0,0.08857006079169963,0.08074376879247194
crummles,0.0005798483319432919,0.1331020451951737,0.027997011615192975,0.042681042038992506,0.03658071191663108,0.09960956295677771,0.1192553314280072,0.08857006079169963,0.0,0.1462036440972348
la creevy,0.002827640606483339,0.02813868360696492,0.003858659897812353,0.007727122083819146,0.01146697058713439,0.03780356307707314,0.08131690107982674,0.08074376879247194,0.1462036440972348,0.0
