,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,0.0068331885917713,0.010985994727010381,0.014788438015923673,0.009220915763379644,0.001139599352371889,0.021605999208066558,0.004712950298512426,0.014371216863814668,0.013203852070059268
jean,0.0068331885917713,0.0,0.010885949983939344,0.018778181863730238,0.014216691985886284,0.0011615490806923669,0.014527115774783021,0.006741548885699967,0.014240256587496804,0.007482981338070721
henriette,0.010985994727010381,0.010885949983939344,0.0,0.04625790195147434,0.10164922086007153,0.11437750687736588,0.03251325011674792,0.05983653087015336,0.005086423821208986,0.01942068228742292
delaherche,0.014788438015923673,0.018778181863730238,0.04625790195147434,0.0,0.14640004283577418,0.16784843517036957,0.07514690611625637,0.0663039037381026,0.01170035122748289,0.06001481996515199
weiss,0.009220915763379644,0.014216691985886284,0.10164922086007153,0.14640004283577418,0.0,0.10381533413227466,0.23802485583018734,0.08622160747526313,0.1505227969432119,0.207488227582343
loubet,0.001139599352371889,0.0011615490806923669,0.11437750687736588,0.16784843517036957,0.10381533413227466,0.0,0.2851382522837954,0.04958319506556292,0.1685464952590421,0.16163351415142813
silvine,0.021605999208066558,0.014527115774783021,0.03251325011674792,0.07514690611625637,0.23802485583018734,0.2851382522837954,0.0,0.16624014383763136,0.07391224263735628,0.00925246334778393
honore,0.004712950298512426,0.006741548885699967,0.05983653087015336,0.0663039037381026,0.08622160747526313,0.04958319506556292,0.16624014383763136,0.0,0.15431349068826009,0.13621352417114
gilberte,0.014371216863814668,0.014240256587496804,0.005086423821208986,0.01170035122748289,0.1505227969432119,0.1685464952590421,0.07391224263735628,0.15431349068826009,0.0,0.09408769730949855
fouchard,0.013203852070059268,0.007482981338070721,0.01942068228742292,0.06001481996515199,0.207488227582343,0.16163351415142813,0.00925246334778393,0.13621352417114,0.09408769730949855,0.0
