,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,0.019328799779417382,0.1294787726445023,0.11245536335661653,0.1120535096565682,0.04553716272761343,0.07720334422917127,0.06468569069004088,0.08250117999475144,0.1343116215816247
miette,0.019328799779417382,0.0,0.14994585559061724,0.13096790774668116,0.1320166452073706,0.08074059471886455,0.11280507682781683,0.09985964594181755,0.10647751086508918,0.1488035366123545
felicite,0.1294787726445023,0.14994585559061724,0.0,0.049097259398322574,0.07864607849530947,0.03330041102228017,0.011134232520146245,0.03887521665544706,0.004476265754130007,0.011049846476120813
pierre,0.11245536335661653,0.13096790774668116,0.049097259398322574,0.0,0.13011405856895852,0.022612950465085428,0.011095092266610724,0.01719385984168912,0.005156032574119735,0.011498837356266644
rougon,0.1120535096565682,0.1320166452073706,0.07864607849530947,0.13011405856895852,0.0,0.05276176888088009,0.011158185675145153,0.11710156242071636,0.049515368592025176,0.11174925187746412
macquart,0.04553716272761343,0.08074059471886455,0.03330041102228017,0.022612950465085428,0.05276176888088009,0.0,0.05444682623585182,0.05298276755794412,0.04427600858506181,0.08640775556981113
granoux,0.07720334422917127,0.11280507682781683,0.011134232520146245,0.011095092266610724,0.011158185675145153,0.05444682623585182,0.0,0.19527978922715636,0.07311270443269266,0.1405734757145676
antoine,0.06468569069004088,0.09985964594181755,0.03887521665544706,0.01719385984168912,0.11710156242071636,0.05298276755794412,0.19527978922715636,0.0,0.10681111294052384,0.0750820196614059
aristide,0.08250117999475144,0.10647751086508918,0.004476265754130007,0.005156032574119735,0.049515368592025176,0.04427600858506181,0.07311270443269266,0.10681111294052384,0.0,0.06447071901417215
eugene,0.1343116215816247,0.1488035366123545,0.011049846476120813,0.011498837356266644,0.11174925187746412,0.08640775556981113,0.1405734757145676,0.0750820196614059,0.06447071901417215,0.0
