,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,0.0077328873321376975,0.003973300078446934,0.0012546451953830884,0.0014523085878938528,0.0006969773673884354,0.0020768994390639654,0.0007843532061024984,0.0005560315017478716,0.0010551382015415805
lazare,0.0077328873321376975,0.0,0.006261379218358936,0.004117302019333534,0.002255392309260623,0.001395263813992523,0.0010460765900167457,0.0009753328036374474,0.0006595165200411061,0.0007015855069691644
chanteau,0.003973300078446934,0.006261379218358936,0.0,0.11665761974558618,0.004546709430823397,0.003356535833365646,0.0052611080125859735,0.0016177172232472495,0.0010577432924381463,0.001674292388746495
louise,0.0012546451953830884,0.004117302019333534,0.11665761974558618,0.0,0.04378412827522282,0.08546919309936188,0.047476071159651315,0.023810416834552258,0.01152428464129857,0.032619337816475795
véronique,0.0014523085878938528,0.002255392309260623,0.004546709430823397,0.04378412827522282,0.0,0.09070024243205922,0.009212714241522727,0.005751920364087841,0.005132814497733068,0.006234202239496643
madame chanteau,0.0006969773673884354,0.001395263813992523,0.003356535833365646,0.08546919309936188,0.09070024243205922,0.0,0.02469903009805922,0.02638862570249886,0.03593382997674126,0.0419730983924471
matthew,0.0020768994390639654,0.0010460765900167457,0.0052611080125859735,0.047476071159651315,0.009212714241522727,0.02469903009805922,0.0,0.02098408840818524,0.049392836406623,0.027408908610008952
minouche,0.0007843532061024984,0.0009753328036374474,0.0016177172232472495,0.023810416834552258,0.005751920364087841,0.02638862570249886,0.02098408840818524,0.0,0.02682932765048436,0.04250374115179517
cazenove,0.0005560315017478716,0.0006595165200411061,0.0010577432924381463,0.01152428464129857,0.005132814497733068,0.03593382997674126,0.049392836406623,0.02682932765048436,0.0,0.048746571134349534
abbé horteur,0.0010551382015415805,0.0007015855069691644,0.001674292388746495,0.032619337816475795,0.006234202239496643,0.0419730983924471,0.027408908610008952,0.04250374115179517,0.048746571134349534,0.0
