,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,0.025338721929481632,0.28484938735179394,0.0020062672635684157,0.0016639003068914377,0.021965236862557594,0.16387197947677482,0.0005359378714775995,0.2809879522481711,0.001126381832610789
simonov,0.025338721929481632,0.0,0.2701659811247598,0.008295781768083692,0.005099482461761224,0.013940569025261694,0.15278766984234815,0.004881175012447811,0.26944857681880546,0.007250134794992561
liza,0.28484938735179394,0.2701659811247598,0.0,0.2747248787116536,0.2628151571069319,0.1918548391375452,0.4138001301748346,0.08210424560275877,0.5229116412848949,0.09517269916196511
ferfitchkin,0.0020062672635684157,0.008295781768083692,0.2747248787116536,0.0,0.003222294044622906,0.05740965227461378,0.182401318912704,0.0037418343347815,0.29773588520627453,0.006120585737316583
trudolyubov,0.0016639003068914377,0.005099482461761224,0.2628151571069319,0.003222294044622906,0.0,0.06180420909216426,0.18126882698345256,0.0034236607095416757,0.2981820639499063,0.00752716253072974
anton antonitch,0.021965236862557594,0.013940569025261694,0.1918548391375452,0.05740965227461378,0.06180420909216426,0.0,0.1194719114103593,0.09694823242704052,0.22582468479149734,0.08043681610702093
heine,0.16387197947677482,0.15278766984234815,0.4138001301748346,0.182401318912704,0.18126882698345256,0.1194719114103593,0.0,0.3312048029286444,0.11765850464067584,0.30855116795149085
olympia,0.0005359378714775995,0.004881175012447811,0.08210424560275877,0.0037418343347815,0.0034236607095416757,0.09694823242704052,0.3312048029286444,0.0,0.4465043154454532,0.019309508521649373
stenka razins,0.2809879522481711,0.26944857681880546,0.5229116412848949,0.29773588520627453,0.2981820639499063,0.22582468479149734,0.11765850464067584,0.4465043154454532,0.0,0.42698932922922406
shakespeare,0.001126381832610789,0.007250134794992561,0.09517269916196511,0.006120585737316583,0.00752716253072974,0.08043681610702093,0.30855116795149085,0.019309508521649373,0.42698932922922406,0.0
