,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,0.004984775570220859,0.003514051269693458,0.005398336441030882,0.0010927936418525157,0.0010114123024212844,0.0032021614421436748,0.0006001715390597847,0.0010281702450155746,0.0011114402130249603
harriet,0.004984775570220859,0.0,0.059930956217831906,0.04544290097688784,0.020320012266242984,0.014371743940297155,0.02047232176169306,0.008861053103962206,0.0207847018907067,0.01947183086767209
weston,0.003514051269693458,0.059930956217831906,0.0,0.05517244122502321,0.025870796411342146,0.007895071360937252,0.01213927735975912,0.0031359071714701027,0.005676300334718383,0.008914563088531051
elton,0.005398336441030882,0.04544290097688784,0.05517244122502321,0.0,0.05247312702302047,0.011484500911896307,0.013261379966363784,0.018654164472585156,0.0149370169721848,0.015569170515094377
knightley,0.0010927936418525157,0.020320012266242984,0.025870796411342146,0.05247312702302047,0.0,0.03889859829883872,0.018844812126122427,0.007262956904556248,0.008345768872146296,0.006655358508899236
woodhouse,0.0010114123024212844,0.014371743940297155,0.007895071360937252,0.011484500911896307,0.03889859829883872,0.0,0.02712022144004961,0.0165570984414458,0.009979364852617013,0.011185332982846066
jane,0.0032021614421436748,0.02047232176169306,0.01213927735975912,0.013261379966363784,0.018844812126122427,0.02712022144004961,0.0,0.02672656933396849,0.026951783391265298,0.026803746067906
frank churchill,0.0006001715390597847,0.008861053103962206,0.0031359071714701027,0.018654164472585156,0.007262956904556248,0.0165570984414458,0.02672656933396849,0.0,0.07202394396907519,0.026763942545248415
bates,0.0010281702450155746,0.0207847018907067,0.005676300334718383,0.0149370169721848,0.008345768872146296,0.009979364852617013,0.026951783391265298,0.07202394396907519,0.0,0.01573438863061309
jane fairfax,0.0011114402130249603,0.01947183086767209,0.008914563088531051,0.015569170515094377,0.006655358508899236,0.011185332982846066,0.026803746067906,0.026763942545248415,0.01573438863061309,0.0
