,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,0.025106565541074752,0.025427868655025842,0.029788740977508145,0.1567712163283057,0.1457942088736098,0.0038018143780797326,0.009848351505004353,0.010877553526305673,0.006592341654566745
mary,0.025106565541074752,0.0,0.010337699276411382,0.06096374993726572,0.16761946403310296,0.17395308308267682,0.010821219810758394,0.028603490312782583,0.008100129442705965,0.007502847175369277
edward,0.025427868655025842,0.010337699276411382,0.0,0.09745018220023542,0.19128617970301573,0.1941977242148212,0.016124081739367354,0.057739393617296374,0.01631079041597935,0.007432386753982363
burgess,0.029788740977508145,0.06096374993726572,0.09745018220023542,0.0,0.11666991390939915,0.10211291551483732,0.09177291954631608,0.05186699085564599,0.0843001433045241,0.062427469590624556
wilson,0.1567712163283057,0.16761946403310296,0.19128617970301573,0.11666991390939915,0.0,0.013981664262631631,0.1314959247042423,0.08818462399039832,0.19052099161444988,0.10746607344383333
billson,0.1457942088736098,0.17395308308267682,0.1941977242148212,0.10211291551483732,0.013981664262631631,0.0,0.13191769918462254,0.08901353239298161,0.15785810680807433,0.2300114326100032
stephenson,0.0038018143780797326,0.010821219810758394,0.016124081739367354,0.09177291954631608,0.1314959247042423,0.13191769918462254,0.0,0.07630539043142909,0.04416337456192986,0.25672146651437794
halliday,0.009848351505004353,0.028603490312782583,0.057739393617296374,0.05186699085564599,0.08818462399039832,0.08901353239298161,0.07630539043142909,0.0,0.10267307737720141,0.32923082123558284
goodson,0.010877553526305673,0.008100129442705965,0.01631079041597935,0.0843001433045241,0.19052099161444988,0.15785810680807433,0.04416337456192986,0.10267307737720141,0.0,0.5361883179943745
harkness,0.006592341654566745,0.007502847175369277,0.007432386753982363,0.062427469590624556,0.10746607344383333,0.2300114326100032,0.25672146651437794,0.32923082123558284,0.5361883179943745,0.0
