,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,0.10801726155186044,0.3506556221900866,0.3179934599871074,0.32778140822281077,0.21666157053023638,0.2618423365621389,0.13254786437716135,0.326442721791559,0.08650178417620281
burns,0.10801726155186044,0.0,0.221239903471924,0.18864185451346205,0.18080666740043005,0.1690094896761642,0.14063043375979123,0.10833870993604545,0.32545834871416274,0.08551741109880652
burke,0.3506556221900866,0.221239903471924,0.0,0.029462838614034807,0.19532935055868256,0.24909990762688147,0.032042987436877016,0.2652269318456922,0.21545465731512248,0.010582010582010581
barnum,0.3179934599871074,0.18864185451346205,0.029462838614034807,0.0,0.17859740840811023,0.23879390235279335,0.060657997231719184,0.2348960255937,0.24387842992494158,0.0039374923095854
darley,0.32778140822281077,0.18080666740043005,0.19532935055868256,0.17859740840811023,0.0,0.10506011489102245,0.1892364110590269,0.11531560686118432,0.09043927648578809,0.11787867601821099
mcfadden,0.21666157053023638,0.1690094896761642,0.24909990762688147,0.23879390235279335,0.10506011489102245,0.0,0.2386808834676967,0.0004098854226755436,0.003691399040236298,0.24363233665559245
brown,0.2618423365621389,0.14063043375979123,0.032042987436877016,0.060657997231719184,0.1892364110590269,0.2386808834676967,0.0,0.305154413598359,0.18223206595299624,0.05204872646733105
duffy,0.13254786437716135,0.10833870993604545,0.2652269318456922,0.2348960255937,0.11531560686118432,0.0004098854226755436,0.305154413598359,0.0,0.48615725359911405,0.24621631598375784
red mcfadden,0.326442721791559,0.32545834871416274,0.21545465731512248,0.24387842992494158,0.09043927648578809,0.003691399040236298,0.18223206595299624,0.48615725359911405,0.0,0.23994093761535615
p. t. barnum,0.08650178417620281,0.08551741109880652,0.010582010582010581,0.0039374923095854,0.11787867601821099,0.24363233665559245,0.05204872646733105,0.24621631598375784,0.23994093761535615,0.0
